Data,Zamkniecie,Wolumen
2016-01-17,43719.53,334110037
2016-01-24,43039.42,361149750
2016-01-31,44290.05,304817698
2016-02-07,44671.66,285049367
2016-02-14,43849.4,223183025
2016-02-21,45455.8,327159356
2016-02-28,45770.44,232951186
2016-03-06,46400.67,309191175
2016-03-13,47182.13,266666383
2016-03-20,48211.45,377362520
2016-03-27,47778.01,219117451
2016-04-03,48506.46,221169631
2016-04-10,47556.03,205683978
2016-04-17,48095.43,194691873
2016-04-24,48446.39,268409921
2016-05-01,47641.99,244265476
2016-05-08,46663.67,152918567
2016-05-15,46063.67,184640726
2016-05-22,45784.76,206100351
2016-05-29,46634.55,145044129
2016-06-05,45523.93,232554940
2016-06-12,45348.2,167633758
2016-06-19,44606.86,227109088
2016-06-26,44773.75,236304424
2016-07-03,44754.05,253238319
2016-07-10,44024.66,190528037
2016-07-17,45540.6,220374980
2016-07-24,46541.69,169507480
2016-07-31,46171.72,210477639
2016-08-07,47604.22,305941545
2016-08-14,48631.44,208140393
2016-08-21,47536.72,177169106
2016-08-28,47456.36,259326396
2016-09-04,47405.71,238278341
2016-09-11,47326.14,236341459
2016-09-18,47166.67,219386907
2016-09-25,47865.78,246289485
2016-10-02,47084.94,230517367
2016-10-09,47762.81,216156755
2016-10-16,47285.64,209192498
2016-10-23,47931.14,233131409
2016-10-30,49070.85,224085571
2016-11-06,47610.85,183985589
2016-11-13,48447.59,185024889
2016-11-20,46910.91,240587050
2016-11-27,48579.08,231977617
2016-12-04,48474.03,283068912
2016-12-11,50693.75,313166331
2016-12-18,51115.26,298504566
2016-12-25,51295.58,222759993
2017-01-01,51754.03,128882678
2017-01-08,52721.67,172693931
2017-01-15,53498.26,284834384
2017-01-22,53573.28,243363430
2017-01-29,55657.7,305953292
2017-02-05,55408.23,220377564
2017-02-12,57385.03,304292696
2017-02-19,57972.68,391353231
2017-02-26,58657.32,295586127
2017-03-05,59313.38,389585865
2017-03-12,58316.11,426726284
2017-03-19,60440.57,395745787
2017-03-26,59069.56,339606780
2017-04-02,57911.31,281366307
2017-04-09,59287.92,244640017
2017-04-16,58695.36,193870870
2017-04-23,59285.57,252134815
2017-04-30,61644.56,380538434
2017-05-07,61831.4,167013629
2017-05-14,61595.38,385274274
2017-05-21,60739.95,290226939
2017-05-28,60907.75,236665832
2017-06-04,60754.42,239844000
2017-06-11,61181.57,222429781
2017-06-18,60481.07,158312215
2017-06-25,60982.19,184400465
2017-07-02,61018.36,193133689
2017-07-09,60707.52,128121738
2017-07-16,62127.72,183562069
2017-07-23,61979.52,183366722
2017-07-30,62366.5,200600743
2017-08-06,62478.3,245056136
2017-08-13,62206.45,377664573
2017-08-20,62053.31,272980470
2017-08-27,64135.52,404192496
2017-09-03,65208.48,290493860
2017-09-10,64306.53,238676253
2017-09-17,64535.67,268691764
2017-09-24,64397.32,247447669
2017-10-01,64289.69,211947933
2017-10-08,64456.06,220557288
2017-10-15,65318.72,254266714
2017-10-22,63719.57,215645462
2017-10-29,64054.62,285951252
2017-11-05,64214.11,172149418
2017-11-12,63415.6,236386469
2017-11-19,63047.02,225654898
2017-11-26,63857.97,209175398
2017-12-03,62031.02,296171856
2017-12-10,62430.24,228838302
2017-12-17,62619.6,237957503
2017-12-24,63237.38,228844209
2017-12-31,63746.2,163262442
2018-01-07,65314.32,140707012
2018-01-14,65465.65,203271545
2018-01-21,66897.08,181497451
2018-01-28,66861.37,187246325
2018-02-04,65021.36,192718408
2018-02-11,61952.62,233823780
2018-02-18,62818.71,158349978
2018-02-25,62665.06,146575285
2018-03-04,60580.36,198531371
2018-03-11,61688.08,167638153
2018-03-18,60391.42,236751200
2018-03-25,59436.36,186574530
2018-04-01,58377.42,149052917
2018-04-08,59553.13,138207972
2018-04-15,60477.53,196118281
2018-04-22,60144.37,148050989
2018-04-29,59567.47,218859959
2018-05-06,58883.65,99556954
2018-05-13,60784.11,205143560
2018-05-20,58740.33,216995002
